"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Experian Health, Inc.","privacyrequests [at] experian.com","https://www.experian.com/healthcare/","720 Cool Springs Blvd., Suite 200, Franklin, TN 37067, United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:, •Online at experian.com/ccpa, •By phone at 1-833-210-4615, •By mail at PO Box 703, Allen, TX 75013, A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy, ","Experian does not engage in any practice subject to these laws. ","","02/27/2020"
"Electronic Voice Services, Inc.","richard [at] evs7.com","https://www.telephonelists.biz","8111 LYNDON B JOHNSON FWY, STE 1045, DALLAS, TX 75251, United States","By calling 800-713-8353 or 972-713-6622, or by filling out our online request form here: https://www.evs7.com/personal-information-request","We don't post any personal information online for public viewing.","We do not collect the personal information that we sell. We purchase that from a data broker. ","02/12/2020"
"Searchbug","support [at] searchbug.zohodesk.com","http://searchbug.com","2101 Las Palmas Dr., E, Carlsbad, CA 92011, United States","Searchbug consumers may submit a request using the submit button on this page: https://www.searchbug.com/ccpa.aspx","Protected individuals may submit an Opt-Out request using the submit request button on this page: https://www.searchbug.com/ccpa.aspx#DoNoSell then selecting the ""Reason = Opt-Out Request"" and entering the corresponding required ""Subject"" on the submittal form such as ""Government Official"", ""Domestic Violence Victim"", ""Sexual Assault' or 'Stalking"" and attaching the necessary documentation. Searchbug does not maintain any consumer data for sale, however, we will block requests for information to comply with Gov. codes when applicable.","1. Website Visitor data: We only collect IP Address, Cookies, and Browser Version from website visitors unless they become registered users. This data is used to improve the visitor site experience. We do NOT sell this information. We share it only with providers of analytics and fraud prevention services, which are contractually prevented from selling, sharing or using the data for any purpose other than improving our website experience., , 2. Customer Data Collected: This data is provided by registered users when purchasing services on our site. We do NOT sell this information. We share it only with payment processing and fraud prevention providers, which are contractually prevented from selling, sharing, or using the data for any purpose other than fulfilling purchases and securing data.","03/10/2020"
"Experian Information Solutions, Inc.","privacyrequests [at] experian.com","http://www.experian.com","475 Anton Blvd, Costa Mesa, CA 92626, United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:, •Online at experian.com/ccpa, •By phone at 1-833-210-4615, •By mail at PO Box 703, Allen, TX 75013, A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy","Experian does not engage in any practice subject to these laws. ","","02/27/2020"
"Ubermedia","privacy [at] ubermedia.com","http://www.ubermedia.com","130 west union street, pasadena, CA 91103, United States","Consumers should go to https://ubermedia.com/general-privacy-policy/ to submit CCPA requests.  Consumers may also email privacy@ubermedia.com","Consumers should go to https://ubermedia.com/general-privacy-policy/ to submit CCPA requests.  Consumers may also email privacy@ubermedia.com",", We collect mobile location data in compliance with all current US privacy laws, our privacy policy, and CCPA.  We collect data from a variety of sources. All purchased data sources are explicitly in compliance with CCPA and GDPR. We have obtained a signed attestation from our third party vendors explicitly affirming their compliance. , ","02/27/2020"
"TruthFinder, LLC","help [at] truthfinder.com","http://www.truthfinder.com","2534 State Street, No. 473, San Diego, CA 92101, United States","A consumer may opt out of sale or submit requests under the CCPA by visiting https://www.truthfinder.com/opt-out/v2/ (which can be accessed directly at the provided URL or by clicking the “Do Not Sell My Personal Information” or ""Suppress My Data"" hyperlinks on the TruthFinder homepage), emailing TruthFinder customer support at help@truthfinder.com or calling TruthFinder during business hours at (800) 699-8081.","TruthFinder requests that demands for deletion of information under Gov. Code Sections 6208.1(b) or 6254.21(c)(1) be made by delivering a written request via email to help@truthfinder.com or by mail at 2534 State Street, No. 473, San Diego, CA 92101.  ","","03/03/2020"
"Instant Checkmate, LLC","support [at] instantcheckmate.com","http://www.instantcheckmate.com","3111 Camino Del Rio N, Suite 400, San Diego, CA 92108, United States","A consumer may opt out of sale or submit requests under the CCPA by visiting https://www.instantcheckmate.com/opt-out (which can be accessed directly at the provided URL or by clicking the “Do Not Sell My Personal Information"" or ""Suppress My Data"" hyperlinks on the Instant Checkmate homepage), emailing Instant Checkmate customer support at support@instantcheckmate.com or calling Instant Checkmate during business hours at (800) 222-8985.","Instant Checkmate requests that demands for deletion of information under Gov. Code Sections 6208.1(b) or 6254.21(c)(1) be made by delivering a written request via email to support@instantcheckmate.com or by mail at 3111 Camino Del Rio N, Suite 400, San Diego, CA 92108.  ","","03/03/2020"
"Windfall Data, Inc.","privacy [at] windfalldata.com","http://www.windfalldata.com","430 Pacific Ave, San Francisco, CA 94133, United States","https://windfalldata.com/database-opt-out/","N/A","","02/27/2020"
"WealthEngine, Inc.","contracts [at] wealthengine.com","https://www.wealthengine.com/","4340 East West Highway #900, Bethesda, MD 20814, United States","There are various avenues available for a consumer to opt-out from sale of data by WealthEngine, Inc. A consumer may opt-out by submitting a request via privacy@wealthengine.com, via the website online-form, via mailing to WealthEngine, or via using the toll free opt-out number. Please see WealthEngine's opt-out page for more information: https://www.wealthengine.com/optout-privacypolicy/","Same process as opt-out requests. The avenues available for opt-outs are also available for deletion requests. Please see WealthEngine's opt-out page for more information: https://www.wealthengine.com/optout-privacypolicy/","Please see WealthEngine privacy policy: https://www.wealthengine.com/wealthengine-inc-privacy-policy/","02/07/2020"
"Outbrain Inc.","legal [at] outbrain.com","http://outbrain.com","39 West 13th Street, New York, New York, NY 10011, United States","California residents may opt out of the sale of personal information via our Interest Profile (https://my.outbrain.com/recommendations-settings/home). In addition, they can exercise their rights by contacting us either (1) via email at privacy@outbrain.com; or (2) via our toll free number on 1-866-I-OPT-OUT and entering service code 253#; or (3) by mail to Outbrain Inc., 39 West 13th Street, 3rd floor, New York, NY 10011, Attn: Privacy Questions.","California residents can exercise their right to deletion by contacting us either (1) via email at privacy@outbrain.com; or (2) via our toll free number on 1-866-I-OPT-OUT and entering service code 253#; or (3) by mail to Outbrain Inc., 39 West 13th Street, 3rd floor, New York, NY 10011, Attn: Privacy Questions.","","03/11/2020"
"Cyndx Networks LLC","privacy [at] cyndx.com","https://www.cyndx.com","757 3rd Ave., Suite 1502, New York, NY 10017, United States","A California consumer may opt out of sale or submit requests under the CCPA by filling out a privacy request form at https://www.cyndx.com/California-Do-Not-Track/ or by calling (877) 237-4418.","The Cyndx platform provides only business-related contact information not covered by Gov. Code sections 6208.1(b) or 6254.21(c)(1) and does not make such business-related contact information available to the general public. However, a protected individual can submit a request by filling out a privacy request form at https://www.cyndx.com/California-Do-Not-Track/ or by calling (877) 237-4418.","","02/07/2020"
"Nexxa Group, Inc.","ConsumerChoice [at] nexxagroup.com","http://www.nexxagroup.com","12734 Kenwood Lane, Ste 87, Fort Myers, FL 33907, United States","A California resident, business or elected and authorized agent may submit a request by email to Consumerchoice@nexxagroup.com , by website form at www.nexxagroup.com/consumer-opt-out/, , by phone at (800)- 566-1895 or by mail to Consumer Choice, Nexxa Group 12734 Kenwood Lane, ste 87 Fort Myers, FL 33907 ","A individual California resident can submit their request for deletion by email to ConsumerChoice@Nexxagroup.com, by mail to Consumer Choice, Nexxa Group 12734 Kenwood lane, Ste 87 Fort Myers, FL 33907 or by phone at (800)-566-1895.","Nexxa Group data collecting practices can be found under our Privacy Policy at www.nexxagroup.com/privacy-policy/, ","06/01/2020"
"Complete Medical Lists, Inc.","tburnell [at] completemedicallists.com","http://www.completemedicallists.com/","758 Main St, Franconia, NH 03580, United States","In compliance with the California Consumer Privacy Act (""CCPA""), Cal. Civil Code Div. 3, Part 4 1798.100 et seq. made effective January 1, 2020, California residents can submit the form below to request information on if their name and address appears in our database, or to have their information removed from our database., , The information in this form is being collected for the sole purpose of locating your record in our database so it can be removed and will not be stored, rented, or shared. If your record is found in our database, it will be deleted within 30 days of receipt of this form., , If you prefer to call in your information, you can call toll free: 877-463-3232., , http://www.completemedicallists.com/ccpa.php","In compliance with the California Consumer Privacy Act (""CCPA""), Cal. Civil Code Div. 3, Part 4 1798.100 et seq. made effective January 1, 2020, California residents can submit the form below to request information on if their name and address appears in our database, or to have their information removed from our database., , The information in this form is being collected for the sole purpose of locating your record in our database so it can be removed and will not be stored, rented, or shared. If your record is found in our database, it will be deleted within 30 days of receipt of this form., , If you prefer to call in your information, you can call toll free: 877-463-3232., , http://www.completemedicallists.com/ccpa.php","Compile and aggregate publicly available data","02/12/2020"
"Complete Mailing Lists","ewoolf [at] CompleteMailingLists.com","http://www.CompleteMailingLists.com","190 East Post Rd, 2nd Floor, White Plains, NY 10601, United States","Website form and/or toll-free number, ","Website form and/or toll-free number, ","Compile and aggregate via publicly available data","02/07/2020"
"Foursquare Labs, Inc. ","privacy [at] foursquare.com","http://www.foursquare.com","50 W 23rd Street, 8th Floor, New York, NY 10010, United States","Consumers can learn how to exercise their privacy rights with Foursquare, including the rights to access, deletion and opting out of sale, by visiting ""Your Privacy Choices"" maintained on the Foursquare website at: https://foursquare.com/products/your-privacy-choices/. If consumers wish to opt-out of sale, they can submit their request by visiting: https://foursquare.com/data-requests/.  Consumers may also submit general privacy requests via webform maintained on Foursquare's website at: https://foursquare.atlassian.net/servicedesk/customer/portal/25.  ","An individual may contact us to demand deletion of information posted on our websites or apps by contacting us via webform maintained on Foursquare's website at: https://foursquare.atlassian.net/servicedesk/customer/portal/25.  ","As a company with a long history of consumer apps, Foursquare is dedicated and has a strong core belief in protecting the privacy of consumers. ","02/07/2020"
"180 by Two, LLC","privacy [at] 180bytwo.com","http://www.180bytwo.com","600 Cleveland St., Suite 213, Clearwater, FL 33755, United States","1.  Via our website @ https://180bytwo.com/privacycaliforniaresidents/, 2.  Via email to privacy@180bytwo.com, 3.  Via phone @ (909) 340-3259","1.  Via our website under ""Do Not Sell My Personal Information"" Webform Link or from our CCPA Privacy notice., 2.  Via email to privacy@180bytwo.com, 3.  Via phone @ (909) 340-3259","We collect information:, , 1. Via our website:  Our Website collects information that identifies, relates to, describes, references, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer, household, or device (“personal information”)., , 2. Additionally, we may obtain personal information from the following categories of sources:,     a) Directly from you. For example, if you submit such information to us using forms on our website or by otherwise contacting us.,     b) Indirectly from you. For example, from your usage of mobile and computing devices from which we receive information from cookies and other device identifiers.,     c) From our third-party vendors and data licensors.,     d) From our partners and affiliates., ","03/05/2020"
"NFocus Consulting, Inc.","consumer [at] n-focus.com","https://www.n-focus.com/~nfci/index.php/privacy-policy/","1594 Hubbard Dr., Lancaster, OH 43130, United States","Consumers will be able to submit a request by calling (844) 201-3013, emailing consumer@n-focus.com or completing the appropriate web form at n-focus.com.","Consumers will be able to submit a request by calling (844) 201-3013, emailing consumer@n-focus.com or completing the appropriate web form at n-focus.com.","Consumers will be able to find additional information by visiting n-focus.com","02/12/2020"
"Engagement Media Company, LLC","rwright [at] engagementmediaco.com","http://engagementmediaco.com","888 W. Big Beaver Road, Suite 360, Troy, MI 48084, United States","We have an opt-out button that is prominently displayed on our home page, under the label ""Do not sell my personal information""","We have an opt-out button that is prominently displayed on our home page, under the label ""Do not sell my personal information""","","03/03/2020"
"Big Brook Media, LLC","info [at] littlebrookmedia.com","http://www.littlebrookmedia.com","20 South Main Street, New City, NY 10956, United States","Contact the Company","Contact the Company","","02/07/2020"
"Webbula, LLC","support [at] webbula.com","https://webbula.com/","5000 Stonewood Drive, ste 310, Wexford, PA 15090, United States","To opt out or submit a request, California residents may exercise their California privacy rights by sending an email to privacy@webbula.com, submitting their request to our Online Privacy Center at https://webbula.com/privacy-center/ or by calling 888-993-2285 ext 4. , In addition, Residents of California may send the request by mailing us at:, , Webbula, LLC, ATTN: Privacy / Compliance , 5000 Stonewood Drive., Suite 310 , Wexford, PA. 15090, ","Webbula does not display or permit the display of such information,  we do not operate a website that involves user generated content. We will however honor an opt-out submitted as described above. ","The majority of our business consists of services that involve personal information to provide or support data hygiene services, i.e., to assist companies who wish to purge outdated or potentially fraudulent email or other information. Supplemental to that we sometimes help customers supplement their own lists with additional customer insight data. Which might be personal interests, inferred demo or supplemental personal contact information.  ","02/07/2020"
"Martin Data LLC","ccpa [at] usinfosearch.com","http://www.martin-data.com","735 Taylor Rd STE 220, Columbus, OH 43230, United States","Please go to www.martindataoptout.com to start the process.","Please go to www.martindataoptout.com to start the process.","","02/07/2020"
"Digital Segment, LLC","info [at] digitalsegment.com","http://www.digitalsegment.com","1305 Sunnyslope Ct, Auburn, AL 36832, United States","Email at info @ digitalsegment.com or enter information on form on home page requesting to be opted out.","Email at info @ digitalsegment.com or enter information on form on home page requesting to be opted out.","","02/07/2020"
"Dstillery Inc.","privacy [at] dstillery.com","https://dstillery.com/","470 Park Avenue South, Floor 17 South., New York, NY 10016, United States","Consumers may opt-out of the sale of data by visiting the Dstillery website (https://dstillery.com) and clicking on the Opt-Out link located on the right-hand side of the website footer. The direct link to the Opt-Out page is https://dstillery.com/optout/ Consumers can also access this link from our Privacy Policy page via the link in the website footer or via the Do Not Sell My Personal Information page also found in the footer.  You may also email privacy [at] dstillery.com or dial +1 (888) 914-9661 PIN 598 312.  To Submit DSAR requests you can click on the Data Subject Access Request link found in the right-hand side of the Dstillery website footer or dial +1 (888) 914-9661 PIN 598 312 as well as emailing privacy [at] dstillery.com","Protected individuals can demand the deletion of information by requesting an opt-out from the footer of https://dstillery.com which will be treated as both an opt-out and a deletion request.  Individuals may also directly access this link via https://dstillery.com/optout/ or by emailing privacy [at] dstillery.com or dialing +1 (888) 914-9661 PIN 598 312   These links and additional information about deletions can also be found at our Do Not Sell My Personal Information page linked in the footer of our website or by visiting https://dstillery.com/do-not-sell-my-personal-information/","Dstillery acquires website visitation and app usage information from 3rd party partners.  We work with these partners to ensure all data is collected and distributed using methods compliant with privacy and data protection laws and best practices.  We do not purchase or use personal data such as names, email addresses, home addresses, medical, insurance or other sensitive personal data.","03/03/2020"
"ResearchUSA","privacy [at] researchusallc.com","http://researchusallc.com/","11133 O Street, Omaha, NE 68137, United States","Please go to https://ccpa-optout.com/rsusa/ to begin the process. ","Please go to https://ccpa-optout.com/rsusa/ to begin the process. ","Our Consumer Database is compiled from public and self-reported data sources to be used for Business to Consumer marketing purposes.  ResearchUSA does NOT compile or possess any of the following sensitive personal information:  Driver’s License Information, Passport/Visa Numbers, State ID Information, Student Information, Social Security Numbers, Sexual Orientation Preferences, Credit/Debit Card Numbers, Private Medical/Health Records, Bank Account Numbers, Salary/Payroll/Benefit Data, PIN Numbers, Frequent Flyer Numbers, Exact FICO Scores/Credit Rating, Medical Insurance Information, Personal Account Numbers, Logon ID’s and Passwords, Biometric Data (Fingerprints, Facial Recognition, DNA, Retina Patterns, Blood Types or Signatures).","02/12/2020"
"Hybrid Theory","privacy [at] hybridtheory.com","https://www.hybridtheory.com","14 E 4th Street, New York, New York 10012, USA, New York, NY 10012, United States","Through contacting privacy@hybridtheory.com through our website, or, to opt out of cookies information used for online advertising (the only data Hybrid Theory 'sell'), by clicking on the Opt Out link on our website. We have a CCPA-compliant cookie banner in place that will include a Do Not Sell My Personal Information button and have implemented a specific Do Not Sell My Personal Information link on our website.","No information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) (this relates to government and other public sector individuals’ information being posted online).","Hybrid Theory makes the complex simple by delivering business growth for brands and agencies as a trusted digital services partner, that powers smarter data-driven advertising through the best combinations of technology and talent. The only personal information of consumers with whom we do not have a direct relationship with that we collect or sell is browsing history and interests as collected by cookies on certain publisher websites, and which we share with our advertising partners.","02/27/2020"
"xAd, Inc. dba GroundTruth","legal [at] groundtruth.com","http://www.groundtruth.com","One World Trade, 60th Floor, New York, NY 10007, United States","A description of how a consumer may opt out of sale or submit requests under the CCPA is available at:  https://www.groundtruth.com/california-ccpa-rights/","Not applicable","A description of our data collecting practices is available at:  https://www.groundtruth.com/privacy-policy/","02/12/2020"
"Economic Modeling, LLC","legal [at] economicmodeling.com","https://www.economicmodeling.com/","409 S. Jackson St., Moscow, ID 83843, United States"," https://www.economicmodeling.com/privacy-policy/"," https://www.economicmodeling.com/privacy-policy/","","02/12/2020"
"Inmar-OIQ, LLC","privacy [at] owneriq.com","http://www.owneriq.com","635 Vine Street, Winston-Salem, NC 27101, United States","The consumer can opt out by clicking on the Do Not Sell opt out link on our website and in our privacy notice, under ""California Rights"" section.","The consumer can make a deletion request through the form listed in our privacy notice on our website, under ""California Rights"" section.","","03/03/2020"
"MediaMath, Inc.","privacy [at] mediamath.com","https://www.mediamath.com/","4 World Trade Center, 45th Floor, New York, NY 10007, United States","Please visit our Privacy Policy, specifically the section “Your legal rights”. , http://www.mediamath.com/privacy-policy/#Section-11","Please visit our Privacy Policy, specifically the section “Your legal rights”. , http://www.mediamath.com/privacy-policy/#Section-11","Please visit our Privacy Policy to learn more about how we collect and use personal information. , http://www.mediamath.com/privacy-policy/","02/12/2020"
"RealSource Inc.","privacy [at] realsourcedata.com","http://www.realsourcedata.com","8N980 Dittman Road, Elgin, IL 60124, United States","Privacy Policy on website:, , Opting out of our Marketing Data Products and Services, If you wish to opt-out of our Marketing Databases, please contact us via email at privacy@realsourcedata.com.  Your request will remove your name and address however, please note that opting-out of our databases will not prevent other companies form sending you direct marketing materials., , Opting out of our Telephone Data:, We subscribe to the FTC’s Do-Not-Call Registry.  If you wish to register with the FTC’s Do Not Call Registry, please see their website for details www.donotcall.gov.  Placing your number on this national registry will stop most, but not all telemarketing calls., , California Consumer Privacy Act (CCPA), As a CA resident, you have the right to request that RealSource Data disclose the categories and specific pieces of personal information that we have collected about you.  To request this information, click on the following link:, , privacy@realsourcedata.com, , You have the right to request that RealSource Data delete any personal information about you that RealSource Data has collected.  To request this information, click on the following link:, ,  privacy@realsourcedata.com, , Do Not Sell My Personal Information, You have the right, at any time, to direct RealSource Data not to sell your personal information.  To request this information, click on the following link:, , Do-Not-Sell-My-Personal-Information","Privacy Policy on website: , You have the right to request that RealSource Data delete any personal information about you that RealSource Data has collected.  To request this information, click on the following link:, ,  privacy@realsourcedata.com","Below is listed on our Privacy Policy page:, , RealSource Inc. collects the following categories of information about consumers:, , Personal and online identifiers;, Commercial or transactions information;, Internet activity information;, Geolocation data;, Inferences about your predicted characteristics and preferences; and, Categories of personal information described in Cal. Civ. Code § 1798.80(e)—such as telephone number, Other information about you that is linked to personal information above, such as information on individuals of recently moved, RealSource Data collects personal information from different sources.  In the past twelve (12) months, RealSource Data has collected personal information about consumers from the following categories of sources:, , Apparel & Accessory Companies, Automotive Companies, Business to Business Companies, Inquiries About Products or Services, Consumer Survey Companies, Surveys from Consumers/Self-Reported Data, Data Compiling Companies, Health and Wellness Product and Service Companies, Electronics Companies, Financial Services Companies, Food & Beverage Companies, Gift Product Companies, Lifestyle & Interest Product Companies, Not for Profit Organizations, Public or Government Entities, Publishing Product Companies, Telecommunications Companies, Travel, Leisure & Entertainment Companies, In the past twelve (12) months, RealSource Data has sold the following categories of personal information about consumers to the following categories of third parties:, , Advertising/Marketing Companies, Advertising Networks, Apparel & Accessory Companies, Automotive Companies, Business Services/Agencies, Business to Business Companies, Communication Services Companies, Consumer Packaged Goods Companies, Consumer Services Companies, Health and Wellness Product and Service Companies, Marketing Data Companies, Data Analytics Providers, Consumer Data Resellers, Educational Institutions & Companies, Electronics Companies, Financial Services Companies, Food & Beverage Companies, Gift Product Companies, Lifestyle & Interest Product Companies, Manufacturing Companies, Not for Profit Organizations, Publishing Product Companies, Technology/Computer Software Companies, Telecommunications Companies, Travel, Leisure & Entertainment Companies, Affiliates not under the RealSource Data brand, Public or Government Entities, RealSource Data shares data for the following purposes:, , Marketing and, Validation of consumer identity","02/07/2020"
"Xome Inc. ","licensing [at] xome.com","http://www.xome.com","750 Highway 121 Bypass, Suite 100, Lewisville, TX 75067, United States","All relevant CCPA-related requests are facilitated through our website.  ","A protected individual can contact us through our website to request certain information posted online be removed.  ","We license real estate information found in broker-owned Multiple Listing Service(s). While not wholly government records, the information is generally in the public domain.    ","02/12/2020"
"i360, LLC","privacy [at] i-360.com","http://www.i-360.com","PO Box 663, Arlington, VA 22216, United States","A California consumer may opt out of sale or submit requests under the CCPA by visiting www.i-360.com/ccpa to access the link to i360's online CCPA request portal or to obtain i360's CCPA Information toll-free phone number, or by clicking on the ""Do Not Sell My Information"" button on i360's website footer to access i360's online CCPA request portal.","i360 does not post information online under Gov. Code sections 6208.1(b) or 6254.21(c)(1). If a protected individual believes such information has been posted by i360, email privacy@i-360.com.","Additional information about data collecting practices can be found at www.i-360.com/ccpa and www.i-360.com/privacy-policy.","02/07/2020"
"Wiland, Inc.","privacy [at] Wiland.com","http://www.Wiland.com","7420 E. Dry Creek Parkway, Niwot, CO 80503, United States","We are a marketing company whose clients range from some of the biggest companies and charities in the U.S. to local charities, such as food banks. We help our clients identify people who might be interested in their marketing offers. Sometimes our research is intended to help our clients find new donors or customers, others to find new ways to serve or connect with existing donors or customers. But whether they are our clients, the American consumer, or others, we care about people, and provide consumers with privacy choices. We have provided a form and a toll free number on our website at www.Wiland.com/privacy-choices for consumers to submit “do not sell” or other requests under the CCPA.","We believe in honoring consumers’ privacy choices, as described above. We do not currently make consumer information publicly available via a website or other online service, nor do we currently host public websites where other consumers could post this information.  Accordingly, we do not have a specific method for submitting the requests described in this section.  Please see www.Wiland.com/Privacy-Choices for more information about our products and services, how we use and protect consumer personal information and how consumers can exercise their privacy choices.","We use consumer data for the purpose of creating products and services intended to help consumers receive relevant marketing offers and to reduce marketing waste and unwanted advertising. We require our clients to use our products only for marketing related activities, and not for sensitive decisions like credit, employment or housing. In addition, we limit the type of data we receive and the type of data we share in the interest of consumer privacy. We don’t possess or utilize sensitive data like credit card or bank account numbers, Social Security Numbers or other government-issued identifiers. We do not accept or generate information specifying individuals’ health conditions (such as protected health information, aka “HIPAA data”) and do not seek to predict that any person has a particular health condition. We don’t release information to third parties concerning specific items that a consumer has purchased, what magazines they read, or what charities they support unless requested by the organization with whom the consumer has a relationship.  Our marketing products and services are designed only for use in marketing to United States consumers above the age of 18. We do not knowingly collect information about consumers residing in other locations (such as Europe) or about children., , We belong to several industry groups such as the Data and Marketing Association division of the ANA and the Digital Advertising Alliance. One reason these self-regulatory groups exist is to ensure that companies commit to honoring consumer choice. In addition to the privacy choices we offer consumers directly, we encourage consumers to utilize industry solutions, such as the DMA mail and email preference services and the DAA Ad Choices service to cast a broader net for their advertising choices.  The DMA consumer choice website is: https://dmachoice.thedma.org/.  The DAA consumer choice website is: http://youradchoices.com., ","02/12/2020"
"TechTarget, Inc.","legal [at] techtarget.com","http://www.techtarget.com","275 Grove Street, Newton, MA 02466, United States","A consumer may opt out of sale or submit requests under the CCPA by (i) completing our web form located at https://www.techtarget.com/CA-rights-request/, (ii) emailing us at privacy@techtarget.com, or (iii) calling us at (888) 274-4111. ","A consumer and/or protected individual can demand deletion of information by (i) completing our web form located at https://www.techtarget.com/CA-rights-request/, (ii) emailing us at privacy@techtarget.com, or (iii) calling us at (888) 274-4111. ","A consumer can review the categories of personal information that we collect and our data collecting practices in our Privacy Notice for California Residents located at https://www.techtarget.com/ccpa-privacy-notice/. Additional information about data collection and use can be found in our Privacy Policy located at https://www.techtarget.com/privacy-policy .","02/07/2020"
"Experian Marketing Solutions, LLC.","privacyrequests [at] experian.com","http://www.experian.com","955 American Lane, Schaumburg, IL 60173, United States","To exercise the right to opt out of the sale of information or submit a request under CCPA an consumer may contact Experian in the following way, as further described below:, •Online at experian.com/ccpa, •By phone at 1-833-210-4615, •By mail at PO Box 703, Allen, TX 75013, A consumer may also visit our Privacy Policy at https://www.experian.com/privacy/ccpa-privacy-policy","Experian does not engage in any practice subject to these laws. ","","02/27/2020"
"Interactive Data, LLC","legal.compliance [at] ididata.com","http://www.ididata.com","2650 N. Military Trail, Suite 300, Boca Raton, FL 33431, United States","California consumers may opt out of sale of their personal information by submitting an online request at www.ididata.com/ccpa-do-not-sell-my-personal-information/ or by calling 888-376-6659.  Our mailing address is: IDI Opt-Out Request, P.O. Box 812680, Boca Raton, Florida 33481.  For additional information and instructions on how California consumers may exercise their rights under the CCPA, please visit www.idiprivacypolicy.com.","IDI does not publicly post or publicly display personal information on the Internet.","Additional information about IDI’s data collection practices can be found at www.idiprivacypolicy.com.","02/12/2020"
"Fifty Technology Ltd","privacy [at] fifty.io","http://fifty.io","24 Hanover Square, 4th Floor, London, W1S 1JD, United Kingdom","For details on our opt-out process, please refer to our privacy policy at https://fifty.io/privacy-policy.php","","We work with data aggregators and collect personal information (cookie data and other online identifiers tied to PI)","03/03/2020"
"BDO USA, LLP, Investigative Due Diligence group","privacy [at] bdo.com","http://www.bdo.com","BDO USA, LLP -- Office of the General Counsel (Attn. CCPA Counsel), 100 Park Avenue, New York, NY 10017, United States","From BDO's homepage, a consumer may click on a hyperlink titled ""Do Not Sell My Personal Information - For CA Residents as to BDO Investigative Due Diligence"" to access a form to request to opt out of the sale of information relating to BDO's Investigative Due Diligence services. A consumer may submit requests to know and requests to delete by clicking on a hyperlink in BDO's Privacy Policy titled ""'California Consumer Request' form.""","Not applicable. BDO's Investigative Due Diligence group does not post online any such information.","BDO does not sell any personal information received from its clients, nor does it sell any personal information obtained in the course of providing Tax, Audit & Assurance, and other Advisory services to its clients. In its Investigative Due Diligence practice, BDO is retained by its clients to research and provide personal information about individuals in the form of reports as part of investment, transactional, and other due diligence.  This practice may amount to a “sale” of personal information as such term is defined under the CCPA.","02/07/2020"
"American City Business Journals, Inc. ","legal [at] bizjournals.com","https://www.acbj.com","120 W. Morehead St., Charlotte, NC 28202, United States","Through a link on our website","Through a link on our website","","02/27/2020"
"DealerDirect LLC","dprivacy [at] forddirect.com","http://www.forddirect.com","4 Parklane Blvd., Suite 140, Dearborn, MI 48126-4218, United States","Consumers may click the “Do Not Sell My Personal Information” link displayed on the company webpage or the link in the company privacy statement (www.forddirectprivacy.com) and fill out the request form.","Consumers may click the “Do Not Sell My Personal Information” link displayed on the company webpage or the link in the company privacy statement (www.forddirectprivacy.com), and then choose the delete option, and fill out the request form.","Additional information on data collecting practices can be found at www.forddirectprivacy.com","02/07/2020"
"FOREWARN, LLC","legal.compliance [at] forewarn.com","http://www.forewarn.com","2650 N. Military Trail, Suite 300, Boca Raton, FL 33431, United States","For information about CCPA rights, please visit our privacy policy at www.forewarn.com/privacy-policy/.","FOREWARN does not publicly post or publicly display personal information on the Internet.","Additional information about FOREWARN’s data collection practices can be found at www.forewarn.com/privacy-policy/.","02/12/2020"
"TowerData, Inc.","privacy [at] towerdata.com","https://www.towerdata.com","33 Irving Place, 3rd Floor, New York, NY 10003, United States","Consumers may opt out by using this form https://www.towerdata.com/ccpa-form, emailing privacy@towerdata.com, calling 866-377-3630 or mailing to , TowerData, Inc., Attn: Privacy Officer, 33 Irving Place, 3rd Floor, New York, New York 10003","Consumers may demand deletion using this form https://www.towerdata.com/ccpa-form, emailing privacy@towerdata.com, calling 866-377-3630 or mailing to , TowerData, Inc., Attn: Privacy Officer, 33 Irving Place, 3rd Floor, New York, New York 10003","","02/12/2020"
"Austin Consolidated Holdings, Inc.","usprivacy [at] equifax.com","https://www.equifax.com/personal/","11 E. 7th Street, Suite 620, Austin, TX 78701, United States","through a link on our website","We do not post personal information online so this is not applicable.","Please visit https://www.equifax.com/privacy/privacy-statement/ to review our Privacy Statement for more information.","02/27/2020"
