Data Broker Name:,Registration ID:,Status:,Business Type:,Created Date:,Next Renewal Period Begins:,Termination Date:,Address:,Email Address:,Primary Internet Address:,"3. Does the data broker permit a consumer to opt out of the data broker’s collection of brokered personal information, opt out ofits databases or opt out of certain sales of data? :",a. What was the method for requesting an opt-out?,"b. If the opt-out applied to only certain activities or sales, which ones?",c. Does the data broker permit a consumer to authorize a third party to perform the opt-out on the consumer’s behalf?,"4. Statement specifying the data collection, databases or sales activities from which a consumer may not opt out:",5. Statement regarding whether the data broker implements a purchaser credentialing process:,6. The number of security breaches that the data broker experienced during the prior year:,  a. Total number of consumers affected by the breaches:,7. Does the data broker have actual knowledge that it possesses the brokered personal information of minors:,"If so, provide a statement detailing the data collection practices, databases, sales activities, and opt-out policies that are applicable to the brokered personal information of minors:",8. Any additional information or explanation the data broker chooses to provide concerning its data collection practices:
"Data Facts, Inc.",366982,ACTIVE,Data Broker,1/13/2020,1/1/2021,2/1/2021,"8000 Centerview Pkwy, Suite 400, Cordova, TN, 38018, USA",johnna@datafacts.com,datafacts.com,Yes,"As a consumer reporting agency, Data Facts only provides consumer information when its End-User certifies that it has a permissible purpose for receiving such information pursuant to the Fair Credit Reporting Act (FCRA). The permissible purposes under the FCRA require the consumer's consent to the transaction, with the exception of a prescreening report that is not authorized by the consumer.  Data Facts does not provide information related to prescreening reports.","Opt-out for purposes of our website, the opt-out applies to receiving any marketing information from Data Facts.",If the consumer wants to withdraw their consent for authorization of a Consumer Report the consumer must withdraw their consent or opt-out to either the End-User client or Data Facts.,"There are no such activities.  As explained above, Data Facts provides consumer reports only upon the consumer's authorization.","Data Facts credentials all of its End-Users who purchase consumer reports from Data Facts, prior to providing a consumer report, to ensure the End-User's permissible purpose under the FCRA, and the End-User's compliance with applicable laws.",0,0,Yes,"Children Under Age 13. Data Facts does not offer services to children under the age of 13, and this website is not directed to children under the age of 13.  Data Facts does not knowingly collect information about children under the age of 13.","As a consumer reporting agency, Data Facts only provides consumer information when it End-User certifies that it has a permissible purpose for receiving such information pursuant to the Fair Credit Reporting Act (FCRA)."
"Edvisors Network, Inc.",367007,ACTIVE,Data Broker,1/13/2020,1/1/2021,2/1/2021,"10000 W. Charleston Blvd., Suite 200, Las Vegas, NV, 89135, USA",lfainer@edvisors.com,www.edvisors.com,Yes,"Edvisors provides information relative to consumer opt-out in our Privacy Policy. Consumers are able to submit their request to opt out through a webpage https://www.edvisors.com/third-party-opt-out/ which was created to provide a consumer the ability to opt out of sharing and/or selling their personal information. We also honor opt out requests if submitted in any other manner, e.g., email or chat.",A consumer can opt out of sharing and/or selling all of their personal information. We do not limit a consumer’s ability to opt out of specific activities or sales.,"We currently do not have any policies which address this issue, and we would not be immune to implementing a formal policy which allows for a third party to perform an opt-out on the consumer’s behalf. This formal policy would encompass Edvisors receiving verifiable permission from the underlying party.","N/A, this does not apply as a user always has the option to opt-out.","Prior to providing any data to a potential client/purchaser, Edvisors conducts a rigorous due diligence process to ensure we know who we are selling the data to. Also, we execute with the buying entity a detailed Data Master Service Agreement outlining exactly how the data will be used. In addition, we include contract provisions that mandate that the buying entity use the data only for the purposes forwhich intended.",0,0,Yes,"We do not collect, share or sell data on minors under the age of 13. We have processes in place for adherence to COPPA (“Children’s Online Privacy Act”).","Our Privacy Policy Notice is prominently displayed across all of our websites. Our Privacy Policy Notice provides the consumer with notice of our data collection and sharing practices. In addition to providing a consumer with the ability to opt –out, we offer the consumer the ability to update and edit their personal information."
"CDK Global, LLC",352820,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"1950 Hassell Road, Hoffman Estates, IL, 60169, USA",james.kinzer@cdk.com,cdkglobal.com,No,,,,"CDK supplies credit reports to vehicle dealers in connection with dealers offering credit to consumers. CDK maintains a database of credit reports for audit purposes and to comply with the Fair Credit Reporting Act. CDK makes no other use of the data it collects, and data is only maintained as long as required by the FCRA. Because the credit reports are obtained in connection with consumers obtaining loans, consumers cannot opt out.",Yes. There is a dealer credentialing process to ensure dealers are bona fide businesses.,0,0,Yes,We have not any brokered personal information of minors.,"Credit reports are only run on consumers that have expressed an interest in obtaining credit, and all reports are collected consistent with the FCRA."
Business.com,367051,ACTIVE,Data Broker,1/14/2020,1/1/2021,2/1/2021,"200 Fifth Avenue, Second Floor, Waltham, MA, 02451, USA",customercare@business.com,www.business.com,Yes,"Web form, phone call to designated number.",business.com honors opt-out requests to the extent required by law.,"Yes, upon verification.",business.com adheres to the laws governing opt outs and applies permitted exemptions.,Purchasers must agree to comply with applicable laws.,0,0,No,,
"eMerges.com, INC",367083,ACTIVE,Data Broker,1/14/2020,1/1/2021,2/1/2021,"212 Prince George St, Ste. B, Annapolis, MD, 21401, USA",shawn@emerges.com,www.eMerges.com,Yes,https://www.emerges.com/Opt-Out-Request_ep_51-1.html,"Non-Political, law enforcement and government fraud prevention, identification or authentication use.",Depends.,"Political, law enforcement and government fraud prevention, identification or authentication use.",https://www.emerges.com/Terms-and-Conditions_ep_46-1.html,0,0,Yes,"If a public record has birth date indicating the person is less than 18 years old or an indicator such as ""junior"" on a hunting and fishing license, we suppress that record and do not release it except for Political, law enforcement and government identification or authentication type use.",
"Clearview AI, Inc.",367103,ACTIVE,Data Broker,1/14/2020,1/1/2021,2/1/2021,"214 W 29th Street, 2nd Floor, New York, NY, 10001, USA",legal@clearview.ai,www.clearview.ai,Yes,Consumers may submit opt-out requests by email to privacy@clearview.ai or may fill out an online form requesting opt-out on our website.,"Clearview AI, Inc. performs consumer opt-outs to the extent required by relevant national, state and local laws.","Clearview AI, Inc. permits third-party authorization for opt-out to the extent required by relevant national, state and local laws.",Consumers may not opt out of data collection or sales activities if they do not have a legal right to opt out.,All purchasers are required to provide proof that they are a professional law enforcement or security organization.,0,0,Yes,"Clearview AI Inc. collects publicly available images. This collection includes publicly available images of minors. We provide collected images in a searchable format to users. We actively work to remove all images of California-resident minors from all datasets. Clearview AI, Inc. processes all opt-out requests in a manner compliant with the relevant local laws, including opt-out requests related to minors.",
DatabaseUSA.com LLC,357083,ACTIVE,Data Broker,5/7/2019,1/1/2021,2/1/2021,"11211 JOHN GALT BLVD, OMAHA, NE, 68137, USA",alex.elliott@databaseusallc.com,www.databaseusa.com,Yes,"Email, telephone, or on-line using the web-portal AtoZdatabases.com.",All.,No.,"Sales history information: if a consumer purchases data, that identity of the individual and the sales history is maintained.  This information is not brokered or sold.",No.,0,0,No,,Data is gathered from brokers or consumer information agencies and compiled into a database.
"Digital Segment, LLC",367284,ACTIVE,Data Broker,1/20/2020,1/1/2021,2/1/2021,"1305 Sunnyslope Ct, Auburn, AL, 36832, USA",bschorer@digitalsegment.com,www.digitalsegment.com,Yes,email request,N/A,No,The consumer may opt out of all databases as desired. Certain non production databases may still contain consumer information for archival and legal purposes.,Any purchaser must have a signed contract that requires purchaser to adhere to all federal and state laws and regulations regarding marketing to consumers using the data provided,0,0,No,,
"CareerBuilder Employment Screening, LLC",367361,ACTIVE,Data Broker,1/21/2020,1/1/2021,2/1/2021,"3800 Golf Rd, Ste. 120, Rolling Meadows, IL, 60008, USA",complianceteam@careerbuilderscreening.com,screen.careerbuilder.com,Yes,"via website, email, or phone. Consumer may ask that their information be deleted or anonymized.",N/A,N/A,N/A,All customers are required to complete a Service Agreement certifying to compliance with the FCRA. We also perform verifications on business legitimacy prior to creating and providing the agreement.,0,0,Yes,Minors follow the same data collection processes as all consumers authorizing the performance of a background check. They are subject to the same opt-out rights as all consumers.,"CareerBuilder Employment Screening is a consumer reporting agency required to comply with the FCRA, and our only business is conducting employment-related background services at the request of our customers and only with consumer authorization and proper disclosure."
Consumerbase LLC DBA Exact Data,367366,ACTIVE,Data Broker,1/21/2020,1/1/2021,2/1/2021,"33 N Dearborn, Suite 200, Chicago, IL, 60602, USA",rob.sullivan@exactdata.com,www.exactdata.com,Yes,www.Alerts.com,N/A,Yes,"If the consumer initiated a transaction with the company, they cannot opt out.","Yes, for sensitive categories only.",0,0,No,,No data collected on minors
"Epsilon Data Management, LLC",352693,ACTIVE,Data Broker,1/29/2019,1/1/2021,2/1/2021,"11030 Circle Point Road, Suite 110, Legal Dept., Westminster, CO, 80020, USA",privacy_EPS@lionresources.com,https://us.epsilon.com,Yes,"With  respect  to  Epsilon’s  Abacus,  MarketView™,  Shopper’s  Voice®,  and  TotalSource  Plus® databases, there are three ways a consumer may submit an opt-out request: email, postal mail, or telephone. To opt-out via email, a consumer may email his/her request to opt out, together with his/her current full name and address, to optout@epsilon.com.A consumer may also submit his/her request to opt out, together with his/her current full name and address, via postal mail to:EpsilonAttention: PrivacyPO Box 1478Broomfield, CO 80038To  opt  out  by  telephone,  a  consumer  may  call  1  (888)  780-3869  to  reach  Epsilon’s  Consumer Privacy Specialist, provide his/her current full name and mailing address, and state his/her request to opt out of Epsilon’s databases.","For the Abacus database, an opt out through any of the three aforementioned channels results in a deletion of  the household  record name. In addition  to  the deletion of  the household  record name  from  the database,  the household  record name is also added  to a suppression  file. This external suppression file prevents the name from being re-introduced to the Abacus database in future updates.For the MarketView, Shopper’s Voice, and TotalSource Plus databases, an opt out through any of the three aforementioned channels does not result in the deletion of the individual’s name from the databases. Rather, the individual’s name is added to a suppression file to prevent it from being sold to marketers in the future.A consumer must specifically opt out of the Abacus database and the Shopper’s Voice database separately.  If  a  consumer  opts  out  of  the  Shopper’s  Voice  or  Abacus  database,  he/she  is automatically opted out of the TotalSource Plus database due to the linkage between Epsilon’s databases.  Similarly,  if  a  consumer  opts  out  of  the  TotalSource  Plus  database,  he/she  will automatically be opted out of the MarketView database.","Due to privacy concerns, Epsilon does not accept or process any third-party opt-out requests, with the exception of the national Data & Marketing Association Pander file. If a consumer moves or changes his name after opting out of an Epsilon database, he/she will need to opt out again from such database as set forth above by providing his/her new name and/or address.","Data Collection Due to the nature of Epsilon’s data collection, Epsilon cannot control the records that are present on the data files received by Epsilon for compilation. Epsilon maintains suppression files of opt-out requesters in order to prevent records pertaining to such individuals from being re-introduced into Epsilon’s databases. Databases Epsilon does not maintain databases from which a consumer may not opt out.  Sales Activities By opting out of an Epsilon database, a consumer’s name and corresponding brokered personal information  is  designated  as  “Consumer  Suppression”  for  the  respective  database,  and  will subsequently not be sold by Epsilon to marketers.","Epsilon is committed to being a thoughtful steward of the data with which it is entrusted. From Epsilon’s perspective, a key element of stewardship is knowing who its clients are and the kinds of  content  they  direct  to  consumers.  Accordingly,  as  part  of  its  commitment,  Epsilon  has implemented a systematic approach to review background information regarding its current and potential clients and  to review creative and other advertising content/offers of its current and potential clients.",0,0,No,,Epsilon offers four primary product lines. Each product line has its own source data sets. Each source data set has its own hygiene/compliance practices prior to making a record available for marketing purposes. Epsilon applies the marketing suppression files managed by the Data & Marketing Association to all four of its product lines.
"Cortera, Inc.",367446,ACTIVE,Data Broker,1/22/2020,1/1/2021,2/1/2021,"901 Yamato Road, Suite 210E, Boca Raton, FL, 33431, USA",jmlawgroup@yahoo.com,www.cortera.com,No,,,,"Cortera focuses on providing information about businesses.  On occasion, as a byproduct of collecting information about businesses, Cortera occasionally receives information about consumers' businesses or professions that is not publicly available or information that is unrelated to consumers' businesses or professions.  Consumers cannot opt out of the collection of this information to the extent it is incidental to Cortera's primary focus on collecting information about businesses.","Since Cortera focuses on providing information that does not constitute brokered personal information (i.e., information about businesses and publicly available information about consumers' businesses or professions), Cortera has not implemented a purchaser credentialing process.",0,0,No,,N/A
Drobu Media LLC,367484,ACTIVE,Data Broker,1/23/2020,1/1/2021,2/1/2021,"1010 Brickell Ave. Ste 4105, Miami, FL, 33131, USA",dblackman@drobu.com,www.drobu.com,Yes,The consumer emails and requests to be removed.,Everything,Yes,None,None,0,0,Yes,None,None
"Ekata, Inc.",367633,ACTIVE,Data Broker,1/27/2020,1/1/2021,2/1/2021,"1301 5th Ave, Suite 1600, Seattle, WA, 98101, USA",legal@ekata.com,www.ekata.com,Yes,A consumer may request an opt-out if the opt-out is required by law via a self-service web page (https://privacyrequests.ekata.com/hc/en-us/requests/new?) or by sending an email to euprivacy@ekata.com,The opt-out applies to sales of personal data through Data Broker products and services.,"Yes, authorized agents  of a third party may perform legally-required opt-outs on a qualified consumer's behalf.","A consumer may not opt out if Data Broker is not legally required to process an opt-out, such as when a legal exception exists.","Purchasers of products and services undergo authentication by on-boarding through a sales representative and entering into a written agreement for products and services. In addition, credit card purchasers are vetted through standard credit card authorization procedures.",0,0,No,,"When Data Broker purchases brokered personal information, it purchases from reputable sources by vetting the data broker (usually by visiting in person) and obtains written assurances that the data have been legally obtained for Data Broker's use case. Data Broker does not collect information by ""scraping"" social media or other web sites."
Claritas,367691,ACTIVE,Data Broker,1/28/2020,1/1/2021,2/1/2021,"8044 Montgomery Road, Suite 455, Cincinnati, OH, 45236, USA",al.gadbut@claritas.com,www.Claritas.com,Yes,The opt-out link is on our homepage and in our privacy policy.  We are a member fo DAA AdChoices and honoer opt-outs that way.  In addition we provide an 1-800# to opt-out as well,If a consumer opts-out we opt them out universally,We do but the Opt-out needs to be a person not a robot.,N/A,Yes,0,0,No,,
"CBCInnovis, Inc.",367692,ACTIVE,Data Broker,1/28/2020,1/1/2021,2/1/2021,"250 East Broad Street, Columbus, OH, 43215, USA",privacy@factualdata.com,https://www.cbcinnovis.com/,No,,,,Sale of consumer reports under the Fair Credit Reporting Act and identification information for uses permitted under the Gramm-Leach-Bliley Act.,"CBCInnovis, Inc. has implemented a purchaser credentialing process to ensure that purchasers are legitimate businesses that have a purpose permitted by law to access and use the information.",0,0,No,,
Deloitte Consulting LLP,367715,ACTIVE,Data Broker,1/28/2020,1/1/2021,2/1/2021,"555 S. Tryon Street, Suite 2500, Charlotte, NC, 28202, USA",USPrivacyQuestions@deloitte.com,www.deloitte.com,Yes,Follow the instructions on our Do Not Sell My Personal Information webpage located at https://www2.deloitte.com/us/en/footerlinks1/do-not-sell-my-personal-information.html.,The opt-out applies only to sales of data.,Yes,A consumer may not opt out of data collection or databases.,Deloitte Consulting LLP has a client acceptance process that is undertaken before selling any brokered personal information to a client.,0,0,No,,
Data Exchange,362927,ACTIVE,Data Broker,9/23/2019,1/1/2021,2/1/2021,"7901 4th SE N, Suite 300, St Petersburg, FL, 33702, USA",jjinfo@dealerx.com,www.data.exchange,Yes,Link given to all consumers,All Activities,No,Consumer may opt out of all services.,NA,0,0,No,,
"Civis Analytics, Inc.",352777,ACTIVE,Data Broker,1/30/2019,1/1/2021,2/1/2021,"200 W Monroe St, Suite 2200, Chicago, IL, 60606, USA",compliance@civisanalytics.com,https://www.civisanalytics.com,Yes,You may opt out of promotional emails by clicking on the unsubscribe link in the email. We may use third-party service providers such as Google’s AdSense and AdWords to help us provide advertisements to you that are tailored to you based on interests that you have expressed on our site or elsewhere. Any tracking done by these providers through cookies/other mechanisms is subject to their own privacy policies. Some browser settings allow you to limit or remove Interest-Based Ads delivered to you.,Promotional Email Communications and Interest-Based Advertising.,"We are unable to remove you from third party e-mail lists. So, if you previously added your contact information to the mailing list of one of our clients or partners and later withdraw your permission, you will have to contact that third party (or use an opt-out link provided in an email communication from that client or partner) to request removal from that mailing list as well.",Consumer data collection where a consumer may not have opted out can occur in the following ways:Directly From Consumer; From Third Parties; Automatically when consumer visits our site or uses our services,"All of our clients undergo rigorous due diligence from our sales and marketing teams. Also, in order to engage us as a vendor we require clients to execute a master services agreement requiring certain representations and warranties pertaining to a customer's identity, authority to engage in such agreements, and purpose/scope of engagement.",0,0,Yes,"We do not collect personal data from any person we know to be under the age of 13, and we will delete any personal data collected that we later know to be from a person under the age of 13. Our site and services are for general audiences and is not targeted to children under 13 years of age. If you believe a child under the age of 13 has disclosed personal data to us, please contact us at dataprotection@civisanalytics.com.",You can review our full privacy policy here: https://www.civisanalytics.com/privacy_policy/
DataMentors LLC dba V12,352722,ACTIVE,Data Broker,1/29/2019,1/1/2021,2/1/2021,"2319 Oak Myrtle Ln, Suite 104, Wesley Chapel, NY, 33544, USA",pkuman@v12data.com,www.v12data.com,Yes,"Consumers may opt-out by using a form on our website, sending an email to a designated email address listed on our website, or sending a request by mail to an address listed on our website.  The specific page of V12’s website with information on opt-outs, as well as all necessary links and addresses for exercising the ability to opt-out can be located at www.v12data.com/v12-privacy-point-of-view.  Email requests to opt-out can be sent to privacy@v12data.com.",Not applicable. Individual consumers may ask to be opted out of all activity or sales at any time.,"Yes, but only if the person making the request is a legal guardian or has power of attorney.",None.,"Yes. When V12 receives a data request from a prospective customer with whom V12 has not done business, V12’s policy  requires a background check using information obtained through third party sources (e.g., D & B) and/or references from V12’s current customers.  V12’s policy/practice  requires that the prospective customer clearly describe the purpose for which the data is to be used and sign an agreement that the data will be used for the declared purposes and in compliance with law.",0,0,Yes,"V12 does not intentionally collect and is not aware of any data in its possession, custody or control that pertains to any individual under the age of 18.  In the event V12 becomes aware of such data, its policy is to delete such data.",None.
Digital Media Solutions,367872,ACTIVE,Data Broker,1/30/2020,1/1/2021,2/1/2021,"4800 140th Ave North Suite 101, Clearwater, FL, 33762, USA",legal@thedmsgrp.com,legal@thedmsgrp.com,Yes,The opt out method is based on how the consumer opted in. Within each opt in consent there are instructions clearly labeled for the consumer to opt out,N/A,No,"We are a digital marketing and lead generation company. We do marketing via, text, email, phone.",N/A,0,0,No,,
"Electronic Voice Services, Inc.",367875,ACTIVE,Data Broker,1/30/2020,1/1/2021,2/1/2021,"8111 LYNDON B JOHNSON FWY, Suite 1045, Dallas, TX, 75251 - 1432, USA",richard@evs7.com,https://www.telephonelists.biz,Yes,By calling 800-713-8353 or 972-713-6622 or by filling out our online request form: https://www.evs7.com/personal-information-request,Not applicable,"No, we have to verify each consumer is the one making the request.","If the consumer is in any list that we sell, they may opt out. If they have purchased any of our products or requested information from us, we need to retain their information; we do however allow them to opt out of further contact from us.",We verify that the purchasers are legitimate.,0,0,No,,
"CoreLogic Solutions, LLC",352840,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"40 Pacifica, Ste 900, Irvine, CA, 92618, USA",dghazaleh@corelogic.com,www.CoreLogic.com,Yes,"While CoreLogic Solutions does not perform direct marketing to consumers, we understand that our clients (Mortgage and Real Estate professionals) might use our public records data to mail marketing material.  Therefore, we created an Opt-Out process almost 20 years ago to allow consumers to manage this type of marketing.  Consumers are instructed on our Privacy page to send these requests to privacy@corelogic.com",Sales or marketing material mailed by our clients.  CoreLogic maintains a B2B business model and any consumer Opt-Out requests we receive are used to suppress the creation of mailing labels in our products or an opt-out indicator is provided to our clients if they receive our data through bulk extracts.,"Opt-Out requests do require a verification of the authenticity of the consumer, however we do accept requests from attorneys or other agents that can confirm a relationship to the consumer for which they make the request.","CoreLogic Solutions is a processor of real property records obtained from local Tax Assessor and Property Recorder’s offices. These records are normalized and provided to our clients for Mortgage and Real Estate related activities. Consumers may opt-out of marketing activities, but they may not opt out of data collection from public records unless required by law. This data is often used for fraud mitigation and any discrepancies must be resolved at the appropriate government office.","CoreLogic Solutions is a Business-to-Business model and our clients are contractually bound to follow all State and Federal laws that surround the proper usage of data and information security requirements that govern the federal banking institutions.  Since CoreLogic Solutions does not process sensitive data regulated by FCRA, no on-site client facility visitations or credentialing are performed.",0,0,Yes,"This is not applicable, as CoreLogic Solutions does not knowingly process or provide data to our clients related to minors.",Not applicable.
"CoreLogic Credco, LLC",352848,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA",dghazaleh@corelogic.com,www.corelogic.com,Yes,"Any consumer whose consumer file is maintained by Credco may notify Credco, with appropriate identification, of the consumer's election to have the consumer's name and address excluded from any list of names and addresses provided by Credco for such a transaction. Consumers may contact CoreLogic Credco, LLC, by calling toll free 877-532-8778 or by mail at P.O. Box 509124, San Diego, CA 92150, Attn: Consumer Opt-Out Services.",The opt-out applies to the exclusion of the consumer’s name and address from any list of names and addresses provided by Credco for the use of information in consumer files maintained by Credco in connection with a credit or insurance transaction that is not initiated by a consumer.,"Yes, in accordance with our authentication requirements and procedure.","Consumer may not opt out of data collection, databases, or sales activities related to credit reports maintained and furnished by Credco in accordance with the permissible purpose sections under the Fair Credit Reporting Act Section 604.","Credco has a credentialing process to ensure each potential end-user that requests access to our products and services is properly credentialed to verify that the end-user is a legitimate business and will only be accessing the information services for purposes allowed under applicable law, vendor policies, contractual requirements, and policy.",0,0,Yes,"Credco accepts requests including but not limited to consumer file disclosure, consumer report copy, disputes, opt-out, security freeze, consumer statement, content of report, extended fraud alert, inquiry trace, and identity theft blocking requests from authorized third parties on behalf of minors or emancipated minors authenticated in accordance with our procedures.",Not Applicable.
CoreLogic Credco of Puerto Rico,352850,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"10277 Scripps Ranch Blvd, San Diego, CA, 92131, USA",dghazaleh@corelogic.com,www.corelogic.com,Yes,"Any consumer whose consumer file is maintained by Credco may notify Credco, with appropriate identification, of the consumer's election to have the consumer's name and address excluded from any list of names and addresses provided by Credco for such a transaction. Consumers may contact CoreLogic Credco, LLC, by calling toll free 877-532-8778 or by mail at P.O. Box 509124, San Diego, CA 92150, Attn: Consumer Opt-Out Services.",The opt-out applies to the exclusion of the consumer’s name and address from any list of names and addresses provided by Credco for the use of information in consumer files maintained by Credco in connection with a credit or insurance transaction that is not initiated by a consumer.,"Yes, in accordance with our authentication requirements and procedure.","4. Statement specifying the data collection, databases, or sales activities from which a consumer may not opt out: Required.Consumer may not opt out of data collection, databases, or sales activities related to credit reports maintained and furnished by Credco in accordance with the permissible purpose sections under the Fair Credit Reporting Act Section 604.","Credco has a credentialing process to ensure each potential end-user that requests access to our products and services is properly credentialed to verify that the end-user is a legitimate business and will only be accessing the information services for purposes allowed under applicable law, vendor policies, contractual requirements, and policy.",0,0,Yes,"Credco accepts requests including but not limited to consumer file disclosure, consumer report copy, disputes, opt-out, security freeze, consumer statement, content of report, extended fraud alert, inquiry trace, and identity theft blocking requests from authorized third parties on behalf of minors or emancipated minors authenticated in accordance with our procedures.",Not Applicable
DealerDirect LLC,367910,ACTIVE,Data Broker,1/31/2020,1/1/2021,2/1/2021,"4 Parklane Blvd., Suite 140, Dearborn, MI, 48126 - 4218, USA",dprivacy@forddirect.com,www.forddirect.com,Yes,Consumers may submit opt-out requests on the webform linked in the privacy statement at www.forddirectprivacy.com,"The opt-out of sales request permits consumers to opt out of sales, and the deletion request permits consumers to opt-out of the company’s databases.","No, unless required by law.","A consumer may not opt out of data collection, but can request deletion of information and opt-out of sales.",Purchasers are verified as known entities.,0,0,No,,Additional information on data collecting practices can be found at www.forddirectprivacy.com
Experian Data Corp,352781,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"475 Anton Blvd, Costa Mesa, CA, 92626, USA",rentbureau@experian.com,http://www.experian.com/rentbureau,No,,,,"Experian Data Corp operates the Experian RentBureau business which is specialty consumer reporting agency and provides data for use in tenant screening as permitted under the Fair Credit Report Act.  Because RentBureau does not provide credit reporting data for use in prescreened firm offers of credit, it does not provide for an opt out of those services under the FCRA.","Experian Data Corp has a membership/credentialing process in which all clients must undergo a review prior to being onboarded as a client. Clients are vetted in accordance with the Fair Credit Reporting Act (15 U.S.C. § 1681e(a)), OFAC and other internal lists such as our Customer Alerts List.",0,0,Yes,RentBureau does not knowingly collect minor data.,NA
"Clarity Services, Inc.",352782,ACTIVE,Data Broker,1/31/2019,1/1/2021,2/1/2021,"15550 Lightwave Drive, Suite 350, Clearwater, FL, 33760, USA",claritymarketing@experian.com,www.clarityservices.com,Yes,"Consumers may opt-out via phone, mail or fax.","The opt-out only applies to the sale of the consumer’s information pursuant to Section 604(c)(1)(B) of the Fair Credit Reporting Act in connection with a credit transaction that is not initiated by the consumer (i.e., a “firm offer of credit” or “prescreen offering”).","Yes, a third party can request the opt-out on the consumer’s behalf if the opt-out request is accompanied by sufficient evidence that the third-party is authorized to act on behalf of the consumer.","The consumer opt-out only applies to the use of data for prescreen offers of credit pursuant to Section 604(c)(1)(B) of the Fair Credit Reporting Act and does not apply to other uses of data pursuant to the FCRA, Gramm-Leach-Bliley Act or any other use permitted by law.","All purchasers looking to obtain data from Clarity Services Inc. undergo a robust vetting process in accordance with the Fair Credit Reporting Act (15 U.S.C. § 1681e(a)), Gramm Leach Bliley Act 6802, OFAC and any internal client alert lists prior to the setup, access, and release of data.",0,0,Yes,"Clarity does not separately track or flag credit files on minors, and, thus, if Clarity receives a valid inquiry for a consumer credit file on a minor, Clarity will provide a credit report.",N/A
Confi-Chek,352646,ACTIVE,Data Broker,1/28/2019,1/1/2021,2/1/2021,"1821 Q Street, Sacramento, CA, 95811, USA",customercare@peoplefinders.com,www.peoplefinders.com,Yes,A consumer may opt out of having their listing displayed by going online to https://www.peoplefinders.com/opt-out and submitting a request.  A consumer may also contact Customer Care for additional help.,A consumer may opt of the exact listing(s) in our database as indicated in Question 3a.,yes,"Despite any consumer request for removal of personal information, we may need to retain certain information for recordkeeping purposes and compliance with applicable law.  Additionally, there may be multiple listings on our site, each of which must be individually removed by the consumer.","A purchaser must agree to our terms and policies, including that the information they use or collect from our site will not be used for any purpose covered under the FCRA.",0,0,No,,N/A
Enformion,352648,ACTIVE,Data Broker,1/28/2019,1/1/2021,2/1/2021,"1915 21st Street, Sacraemento, CA, 95811, USA",support@enformion.com,www.enformion.com,No,,,,n/A,We implement a credentialing process for all of our purchasers to ensure they have a permissible purpose under GLBA.  There are multiple points of verification that we conduct and track and that a purchaser must meet prior to being given access to GLB-regulated information.,0,0,No,,N/A
DATAX LTD,353289,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"7582 Las Vegas Boulevard, Suite 693, Las Vegas, NV, 89123 - 1009, USA",usprivacy@equifax.com,www.dataxltd.com,Yes,See response provided in supplemental attachment.,Please see response to 3.a.,"Generally, DataX would only allow a third party to perform the opt-out on behalf of the consumer if the third party provides a valid power of attorney or other documentation evidencing his or her authority to act on behalf of the consumer.",See response provided in supplemental attachment.,See response provided in supplemental attachment.,0,0,Yes,See response provided in supplemental attachment.,None.
EQUIFAX INFORMATION SERVICES LLC,353291,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"1550 Peachtree Street, N.W., Atlanta, GA, 30309, USA",USPrivacy@equifax.com,www.equifax.com,Yes,See attachment.,See response to 3.a.,"Generally, Equifax permits a third party to request the opt-out or security freeze on behalf of the consumer if the third party provides a valid power of attorney or other appropriate documentation evidencing his or her authority to act on behalf of the consumer.",See attachment.,See attachment.,0,0,Yes,See attachment.,none
"Catalist, LLC",368357,ACTIVE,Data Broker,2/11/2020,1/1/2021,2/1/2021,"1310 L ST NW Ste 500, Washington, DC, 20005, USA",ggruver@catalist.us,www.catalist.us,No,,,,"Data and data-related services are for non-profit organizations to help them better identify, understand and communicate with the people they need to persuade and mobilize.  Data is not for commercial use.  Data is held for individuals 18 years of age or older.",Data is provided only for non-commercial use.  Customers are required to use two-factor authentication login to Catalist systems and access the data.,0,0,No,,"Catalist provides Data and data-related services are for non-profit organizations to help them better identify, understand and communicate with the people they need to persuade and mobilize.  Data is not for commercial use."
"DigiCenter, LLC.",371978,ACTIVE,Data Broker,5/20/2020,1/1/2021,2/1/2021,"400 TradeCenter, Suite 5900, Woburn, MA, 01801, USA",privacy@digicenter.com,https://www.digicenter.com,Yes,Pop up on visit of site and the below link.https://www.digicenter.com/opt-out/,It applies to all.,Yes.,"None, a user can opt-out of everything.","Yes, background checks and credit checks are performed.",0,0,No,,
